id,province_id,name,latitude,longitude
5318,53,KAB. NAGEKEO,-8.8721,121.20963
5319,53,KAB. MANGGARAI TIMUR,-8.55533,120.59761
5320,53,KAB. SABU RAIJUA,-10.56286,121.78894
5321,53,KAB. MALAKA,-9.5632,124.89481
5371,53,KOTA KUPANG,-10.21667,123.6
6101,61,KAB. SAMBAS,1.41667,109.33333
6102,61,KAB. BENGKAYANG,1.06911,109.66393
6103,61,KAB. LANDAK,0.42373,109.75917
6104,61,KAB. MEMPAWAH,0.25,109.16667
6105,61,KAB. SANGGAU,0.25472,110.45
6106,61,KAB. KETAPANG,-1.58333,110.5
6107,61,KAB. SINTANG,-0.08333,112.08333
6108,61,KAB. KAPUAS HULU,0.81667,112.76667
6109,61,KAB. SEKADAU,0.03485,110.95066
6110,61,KAB. MELAWI,-0.33617,111.698
